Model,Test Accuracy,Precision,Recall,F1-Score,Training Time (sec),Parameters
Dense FFNN,0.9753,0.9755414574298268,0.9753,0.9753137110432782,74.98495483398438,109386
CNN,0.9855,0.9859089150061924,0.9855,0.985493699191288,189.87286686897278,104202
